timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1710109674183,11328,RegistrarUsuario,200,OK,Micro_notifcaciones 1-72,text,true,,258,308,83,300,http://34.160.153.17/servicios/notificacion,,11328,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,273
1710109674229,11284,RegistrarUsuario,200,OK,Micro_notifcaciones 1-240,text,true,,258,308,82,299,http://34.160.153.17/servicios/notificacion,,11284,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,809
1710109674179,11338,RegistrarUsuario,200,OK,Micro_notifcaciones 1-42,text,true,,258,308,81,298,http://34.160.153.17/servicios/notificacion,,11338,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,273
1710109674226,11444,RegistrarUsuario,200,OK,Micro_notifcaciones 1-231,text,true,,258,308,80,291,http://34.160.153.17/servicios/notificacion,,11444,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,1953
1710109674204,11513,RegistrarUsuario,200,OK,Micro_notifcaciones 1-151,text,true,,258,308,79,284,http://34.160.153.17/servicios/notificacion,,11513,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,622
1710109674228,11549,RegistrarUsuario,200,OK,Micro_notifcaciones 1-237,text,true,,258,308,78,280,http://34.160.153.17/servicios/notificacion,,11549,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,812
1710109674205,11644,RegistrarUsuario,200,OK,Micro_notifcaciones 1-169,text,true,,258,308,77,279,http://34.160.153.17/servicios/notificacion,,11644,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,625
1710109674224,11658,RegistrarUsuario,200,OK,Micro_notifcaciones 1-219,text,true,,258,308,76,278,http://34.160.153.17/servicios/notificacion,,11658,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,1955
1710109674224,11659,RegistrarUsuario,200,OK,Micro_notifcaciones 1-217,text,true,,258,308,75,277,http://34.160.153.17/servicios/notificacion,,11659,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,1958
1710109674225,11665,RegistrarUsuario,200,OK,Micro_notifcaciones 1-226,text,true,,258,308,74,276,http://34.160.153.17/servicios/notificacion,,11665,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,1957
1710109674179,11754,RegistrarUsuario,200,OK,Micro_notifcaciones 1-45,text,true,,258,308,73,275,http://34.160.153.17/servicios/notificacion,,11754,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,275
1710109674223,11790,RegistrarUsuario,200,OK,Micro_notifcaciones 1-216,text,true,,258,308,72,271,http://34.160.153.17/servicios/notificacion,,11790,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,1959
1710109674230,11808,RegistrarUsuario,200,OK,Micro_notifcaciones 1-238,text,true,,258,308,71,267,http://34.160.153.17/servicios/notificacion,,11808,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,813
1710109674183,11856,RegistrarUsuario,200,OK,Micro_notifcaciones 1-79,text,true,,258,308,70,266,http://34.160.153.17/servicios/notificacion,,11856,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,275
1710109674179,11871,RegistrarUsuario,200,OK,Micro_notifcaciones 1-48,text,true,,258,308,69,265,http://34.160.153.17/servicios/notificacion,,11871,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,273
